# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
su dan da fu 	苏丹达佛	c=1 d=4.85909e-10 t=17463
su dong 	速冻	c=4 d=1 t=77429
su du 	速度	c=5 d=1.46767 t=63508
su du fa 	速读法	c=9 d=1 t=74834
su du fa a si fa da shi dai 	速读法阿斯法大时代	c=1 d=1 t=46752
su du fa da fa dui fang 	速读法大法对方	c=1 d=1 t=46814
su du fa dui fang 	速读法对方	c=2 d=1.90484 t=46736
su du fa fa song de 	速读法发送的	c=1 d=1 t=46791
su du fa mei you 	速读法没有	c=1 d=1 t=46815
su du kuai 	速度快	c=1 d=0.1 t=46717
su du kuai jian fei 	速度快减肥	c=1 d=0.1 t=51942
su du kuai jian fei kan 	速度快减肥看	c=1 d=1 t=46940
su du kuai lang fei 	速度快浪费	c=1 d=0.0491644 t=17463
su du kuai lang fei jiao liao shou kao da jie fang 	速度快浪费脚镣手铐搭街坊	c=1 d=0.494109 t=17463
su du man 	速度慢	c=1 d=1 t=63486
su ju 	苏剧	c=0 d=0.1 t=65212
su lian kong jun 	苏联空军	c=0 d=0.1 t=54061
su lian kong jun di fang 	苏联空军地方	c=1 d=1 t=54062
su liao 	塑料	c=1 d=0.1 t=62534
su liao dai 	塑料袋	c=0 d=4.06418e-27 t=17463
su liao dai ka fei ji 	塑料袋咖啡机	c=2 d=0.239309 t=17463
su liao de 	塑料的	c=1 d=0.1 t=48697
su liao pao mo 	塑料泡沫	c=1 d=1 t=62535
su she 	宿舍	c=2 d=1.55456e-14 t=17463
su xu yao 	苏需要	c=1 d=0.00259284 t=17463
su yan 	素颜	c=1 d=1.23301e-23 t=17463
su you 	素有	c=2 d=1.00017 t=61023
su zhou 	苏州	c=4 d=2.58204 t=27299
su zu 	素组	c=4 d=2.81633 t=58715
suan 	算	c=3 d=0.1 t=36041
suan fa 	算法	c=18 d=1.00609 t=69161
suan jia 	酸价	c=0 d=0.1 t=19338
suan le 	算了	c=16 d=1 t=61629
suan le da kai fang jia a lin shi ken ding 	算了打开放假啊临时肯定	c=1 d=0.23457 t=17463
suan le da kai fang jia ang si 	算了打开放假盎司	c=1 d=0.218712 t=17463
suan le da kai fu jin sa da le kai fa 	算了打开附近飒沓了开发	c=1 d=1 t=49376
suan le de kong jian feng suo li du 	算了的空间封锁粒度	c=1 d=1 t=49374
suan qi 	算起	c=1 d=1 t=68684
suan qi zhong 	算其中	c=1 d=1 t=36042
suan shi 	算是	c=1 d=1 t=58071
suan tong 	酸痛	c=1 d=1 t=75114
suan zuo 	算作	c=1 d=1 t=38867
sui 	岁	c=1 d=1 t=19391
sui bian 	随便	c=2 d=3.39077e-05 t=17463
sui bian yong 	随便用	c=1 d=5.25109e-11 t=17463
sui ji 	随机	c=6 d=1.6391 t=71010
sui ran 	虽然	c=4 d=1 t=66920
sui shi 	随时	c=1 d=1 t=69809
sui yi 	随意	c=1 d=1 t=46511
sui yuan 	随缘	c=1 d=3.89474e-25 t=17463
sui zhe 	随着	c=3 d=1.41271 t=69119
sun shi 	损失	c=1 d=1 t=24193
sun wu kong 	孙悟空	c=1 d=1 t=56454
suo 	所	c=13 d=1 t=72490
suo 	索	c=1 d=1 t=26624
suo 	锁	c=4 d=1 t=73209
suo biao 	所表	c=3 d=2.50405 t=19227
suo biao 	锁表	c=2 d=1.75578 t=19228
suo ding 	锁定	c=4 d=1 t=51279
suo fang 	缩放	c=2 d=1 t=46670
suo ji cheng 	所继承	c=1 d=1 t=53216
suo jin 	缩进	c=2 d=0.141794 t=38875
suo jin shi 	缩进时	c=1 d=1 t=38876
suo ju you 	所具有	c=1 d=1 t=62940
suo ni 	索尼	c=1 d=1 t=41370
suo ping 	锁屏	c=2 d=1 t=51471
suo shi 	所示	c=4 d=1 t=68988
suo shu 	所属	c=8 d=1.00023 t=62921
suo shu dan wei 	所属单位	c=1 d=1 t=24633
suo shu ji tuan 	所属集团	c=1 d=1 t=35039
suo ti gong 	所提供	c=1 d=1 t=72418
suo wei 	所谓	c=2 d=1 t=65447
suo xiao 	缩小	c=0 d=0.1 t=56070
suo xiao wei 	缩小为	c=1 d=1 t=56071
suo xie 	缩写	c=2 d=1 t=69367
suo xu 	所需	c=4 d=1 t=69180
suo xu yao 	所需要	c=6 d=1 t=72653
suo xu yao de 	所需要的	c=1 d=0.00271219 t=17463
suo yi 	所以	c=18 d=1.03979 t=69239
suo yi jiu 	所以就	c=1 d=1 t=19439
suo yi shuo 	所以说	c=1 d=1 t=39944
suo yin 	索引	c=26 d=3.07574 t=65810
suo yin yong 	所引用	c=1 d=1 t=56961
suo yin zhi 	索引值	c=1 d=1 t=49656
suo yong 	所用	c=2 d=1 t=38096
suo you 	所有	c=134 d=1.66369 t=79992
suo you de 	所有的	c=15 d=1.00942 t=67244
suo you ku 	所有库	c=1 d=1 t=64990
suo you lei 	所有类	c=1 d=1 t=59381
suo you mo shi 	所有模式	c=1 d=1 t=20294
suo you ren 	所有人	c=9 d=1.00086 t=44777
suo you yong hu 	所有用户	c=8 d=3.27139 t=60963
suo you yu ju 	所有语句	c=1 d=1 t=60549
suo you zhe 	所有者	c=2 d=1 t=60974
suo you zi duan 	所有字段	c=1 d=1 t=39170
suo zai 	所在	c=30 d=1 t=77205
suo zai di 	所在地	c=1 d=1 t=35374
suo zai guo 	所在国	c=1 d=1 t=44604
suo zuo suo wei 	所作所为	c=1 d=1 t=70124
ta 	他	c=14 d=1.97045 t=77481
ta 	她	c=7 d=0.572367 t=28160
ta 	它	c=52 d=1.59157 t=72898
ta bi 	它比	c=1 d=1 t=62490
ta de 	他的	c=2 d=1 t=63767
ta de 	它的	c=7 d=1.97045 t=70139
ta jiu 	他就	c=2 d=1 t=68043
ta ke yi gen ju 	它可以根据	c=1 d=1 t=58102
ta le 	塌了	c=0 d=0.0782705 t=17463
ta lia 	他俩	c=1 d=4.85992e-12 t=17463
ta men 	他们	c=20 d=1.21014 t=79751
ta men 	它们	c=3 d=1.01046 t=57354
ta qu 	她去	c=1 d=1.32493e-16 t=17463
ta ren 	他人	c=1 d=1 t=45680
ta shi 	他是	c=1 d=0.000137073 t=17463
ta shi 	它是	c=6 d=1.62371 t=72790
ta ta 	踏踏	c=0 d=0.1 t=31777
ta tong 	他同	c=0 d=0.1 t=31777
ta yao 	他要	c=2 d=1 t=58411
ta ye 	他也	c=0 d=1.64928e-05 t=17463
ta ye shi 	他也是	c=1 d=0.000165755 t=17463
ta zai 	他在	c=1 d=1 t=44413
tai 	台	c=2 d=1 t=41682
tai 	太	c=12 d=1.05164 t=78596
tai an 	太暗	c=1 d=1 t=52187
tai cai 	台菜	c=0 d=0.1 t=35689
tai can le 	太惨了	c=1 d=5.82333e-22 t=17463
tai cha 	太差	c=1 d=4.5454e-19 t=17463
tai chang 	太长	c=1 d=4.49009e-22 t=17463
tai da 	太大	c=2 d=1.79852 t=65955
tai da le 	太大了	c=1 d=1 t=39135
tai di 	太低	c=4 d=1 t=77682
tai di le 	太低了	c=1 d=1.24371e-07 t=17463
tai du 	态度	c=1 d=1 t=33425
tai duo 	太多	c=1 d=1 t=66489
tai feng 	台风	c=2 d=1 t=40038
tai gui 	太贵	c=1 d=1 t=40492
tai ji 	太极	c=4 d=1.35894e-20 t=17463
tai jia 	太假	c=1 d=1 t=49471
tai ke ai 	太可爱	c=1 d=1 t=48281
tai kong bu 	太恐怖	c=1 d=1 t=39108
tai lan 	太懒	c=1 d=1.93611e-09 t=17463
tai lan le 	太懒了	c=1 d=1.94581e-08 t=17463
tai lei 	太累	c=1 d=1 t=17990
tai lei le 	太累了	c=1 d=1 t=21277
tai leng men 	太冷门	c=1 d=1 t=28033
tai nan 	太难	c=1 d=2.67337e-13 t=17463
tai nan guo le 	太难过了	c=1 d=1 t=48887
tai qiang da 	太强大	c=1 d=1 t=47029
tai shen 	太深	c=1 d=1 t=45707
tai shi 	台式	c=2 d=1 t=41694
tai wan 	台湾	c=1 d=1 t=78258
tai wan 	太晚	c=1 d=1 t=78259
tai wan le 	太晚了	c=1 d=1 t=41284
tai wu liao 	太无聊	c=1 d=8.42203e-10 t=17463
tai wu qing 	太无情	c=1 d=2.91836e-12 t=17463
tai xiang 	太想	c=0 d=0.1 t=47883
tai xiang na ni 	太想那你	c=1 d=1 t=47884
tai xiao 	太小	c=2 d=1.11248 t=79172
tai xing fu 	台幸福	c=1 d=1.07397e-16 t=17463
tai yang 	太阳	c=1 d=1 t=76662
tai yang zhi zi 	太阳之子	c=1 d=1 t=60623
tai yin 	太阴	c=0 d=0.1 t=40999
tai yin xiang shi qing 	太阴想事情	c=1 d=1 t=41000
tan 	弹	c=2 d=0.1 t=65366
tan 	滩	c=1 d=1 t=47906
tan 	谈	c=1 d=1 t=41732
tan chi she 	贪吃蛇	c=1 d=1 t=61492
tan chu 	弹出	c=4 d=1.9802 t=45021
tan chu lai 	弹出来	c=1 d=1 t=20322
tan chuang 	弹窗	c=2 d=1 t=20705
tan hao 	谈好	c=1 d=1 t=44092
tan kuang 	弹框	c=8 d=1 t=31300
tan qi 	叹气	c=2 d=1 t=39138
tan tang zhen 	弹唐镇	c=1 d=1 t=65367
tan tao 	探讨	c=1 d=1 t=35251
tan xiao pian yi 	贪小便宜	c=0 d=0.0548812 t=17463
tan xin 	贪心	c=1 d=0.000765486 t=17463
tan xing 	弹性	c=1 d=1 t=62493
tan yi ge 	谈一个	c=1 d=3.77963e-25 t=17463
tang 	汤	c=1 d=3.06371e-25 t=17463
tang 	躺	c=1 d=0.1 t=47833
tang fei le 	躺废了	c=1 d=1 t=23711
tang jiang 	糖浆	c=1 d=1 t=39394
tang mian 	汤面	c=1 d=6.74139e-09 t=17463
tang ping 	躺平	c=1 d=1 t=19215
tang shi 	躺尸	c=1 d=1 t=22755
tang xia 	躺下	c=1 d=0.625002 t=17463
tang zhe 	躺着	c=3 d=1.98511 t=40644
tang zhen 	唐镇	c=4 d=1.01851 t=65366
tao 	套	c=0 d=0.1 t=21177
tao 	掏	c=2 d=1 t=37791
tao 	淘	c=0 d=0.195123 t=21592
tao bai bai 	淘白白	c=1 d=1 t=21593
tao bao 	淘宝	c=6 d=1 t=42750
tao bao shang 	套报上	c=1 d=1 t=21178
tao bi 	逃避	c=1 d=1 t=71084
tao can 	套餐	c=17 d=1 t=65382
tao ci 	陶瓷	c=1 d=1 t=62528
tao ge 	涛哥	c=0 d=0.1 t=24153
tao ge ge 	涛哥哥	c=1 d=1 t=24154
tao jie zi 	套接字	c=1 d=0.0156858 t=17463
tao lu 	套路	c=1 d=1 t=75886
tao piao piao 	淘票票	c=1 d=1 t=21583
tao qian 	掏钱	c=2 d=0.0442119 t=17463
tao tai 	淘汰	c=1 d=1 t=25432
tao tao 	套套	c=2 d=1 t=40173
tao tao 	涛涛	c=5 d=1 t=49045
tao tuo 	逃脱	c=0 d=0.1 t=69822
tao tuo bu chu 	逃脱不出	c=1 d=1 t=69823
tao wang 	逃亡	c=1 d=1 t=26954
tao zou 	逃走	c=0 d=0.1 t=16523
tao zou le 	逃走了	c=2 d=1.99005 t=16526
te 	特	c=0 d=1.13763e-18 t=17463
te 	铽	c=1 d=1 t=18708
te bie 	特别	c=7 d=1 t=77238
te bie shi 	特别是	c=1 d=1 t=71485
te bu 	特步	c=1 d=1 t=30738
te cao 	特操	c=1 d=1 t=17007
te dian 	特点	c=2 d=1 t=61577
te ding 	特定	c=4 d=1 t=68804
te e 	忒恶	c=0 d=0.1 t=51257
te e bie 	忒恶别	c=1 d=1 t=51258
te gong 	特工	c=1 d=1 t=47355
te me 	特么	c=6 d=0.102699 t=78665
te me de 	特么的	c=3 d=1.23575 t=40151
te se 	特色	c=2 d=1.93239 t=69897
te shu 	特殊	c=11 d=0.886628 t=69666
te shu fu hao 	特殊符号	c=1 d=5.22846e-19 t=17463
te shu xing 	特殊性	c=1 d=1 t=68094
te xiao 	特效	c=1 d=1 t=15393
te xing 	特性	c=2 d=1 t=63666
te zheng 	特征	c=3 d=2.67266 t=63812
teng 	疼	c=3 d=1 t=41411
teng ai 	疼爱	c=1 d=6.24344e-18 t=17463
teng xun 	腾讯	c=10 d=1 t=74598
teng xun yun 	腾讯云	c=1 d=6.10505e-19 t=17463
ti 	体	c=4 d=1.61263 t=59299
ti 	提	c=2 d=1 t=21473
ti 	题	c=8 d=1 t=67398
ti bu qi 	提不起	c=1 d=1 t=50547
ti chang 	提倡	c=1 d=1 t=55231
ti chu 	提出	c=2 d=1.84789 t=53278
ti dai 	替代	c=5 d=1.79909 t=77696
ti dai guan xi 	替代关系	c=1 d=1 t=76658
ti dai le 	替代了	c=1 d=1 t=61795
ti dao 	提到	c=0 d=0.1 t=62499
ti dao de 	提到的	c=1 d=1 t=62500
ti gao 	提高	c=9 d=1 t=68552
ti gao le 	提高了	c=1 d=1 t=58632
ti gao xiao lv 	提高效率	c=1 d=1 t=57172
ti gong 	提供	c=47 d=1.00037 t=77401
ti gong fang 	提供方	c=1 d=1 t=53568
ti gong le 	提供了	c=2 d=1 t=69384
ti gong zhe 	提供者	c=8 d=3.06464 t=72624
ti guo 	提过	c=2 d=1 t=69103
ti huan 	替换	c=33 d=1 t=73203
ti huan cheng 	替换成	c=5 d=1 t=65837
ti huan diao 	替换掉	c=1 d=1 t=34212
ti huan hou 	替换后	c=1 d=1 t=18797
ti huan qian 	替换前	c=1 d=1 t=18796
ti hui 	体会	c=1 d=4.24908e-20 t=17463
ti ji 	体积	c=1 d=1 t=69173
ti ji ao 	替吉奥	c=1 d=1 t=30800
ti jian 	体检	c=2 d=1.2265 t=23434
ti jiao 	提交	c=63 d=1 t=78860
ti na 	提拿	c=0 d=0.1 t=65286
ti na ji 	提拿即	c=1 d=1 t=65287
ti na jia 	题那家	c=1 d=1 t=49904
ti nei 	体内	c=1 d=1 t=71069
ti qian 	提前	c=9 d=1.00011 t=65193
ti qian shuo 	提前说	c=1 d=4.19094e-05 t=17463
ti qu 	提取	c=3 d=1 t=62577
ti seng 	替僧	c=1 d=1 t=72734
ti sheng 	提升	c=8 d=1.97045 t=72735
ti sheng kong jian 	提升空间	c=1 d=4.54077e-07 t=17463
ti shi 	提示	c=10 d=1 t=73176
ti shi yu 	提示语	c=1 d=1 t=78550
ti ti shen 	提提神	c=1 d=1.56208e-12 t=17463
ti xi 	体系	c=3 d=1.9802 t=59320
ti xian 	体现	c=1 d=1 t=71081
ti xing 	提醒	c=2 d=1 t=79774
ti yan 	体验	c=8 d=0.1 t=78363
ti yan dian 	体验店	c=1 d=1 t=42404
ti yan ti yan 	体验体验	c=2 d=1 t=41375
ti yan xia 	体验下	c=1 d=1 t=78364
ti yu 	体育	c=1 d=3.75439e-05 t=17463
ti zhong 	体重	c=1 d=1 t=63789
tian 	填	c=5 d=1 t=73378
tian 	天	c=14 d=1.96561 t=69313
tian 	甜	c=0 d=0.1 t=35896
tian a 	天啊	c=1 d=1 t=49798
tian a ji 	天阿吉	c=1 d=8.28368e-21 t=17463
tian bao 	填报	c=2 d=1.86936 t=40514
tian chong 	填充	c=2 d=1.99005 t=62536
tian de 	填的	c=1 d=0.1 t=46067
tian dou 	天都	c=0 d=0.1 t=19799
tian dou hei le 	天都黑了	c=1 d=1 t=19800
tian jia 	添加	c=232 d=1.66895 t=79699
tian jia ai 	添加唉	c=1 d=1 t=78799
tian jia dao 	添加到	c=1 d=1 t=48292
tian jia hang 	添加行	c=1 d=1 t=75491
tian jia le 	添加了	c=2 d=1 t=19558
tian jian 	田间	c=4 d=1.14227 t=73044
tian jin 	天津	c=4 d=1 t=42309
tian leng 	天冷	c=0 d=0.1 t=45651
tian leng le 	天冷了	c=1 d=1 t=45652
tian mao 	天猫	c=7 d=1 t=47021
tian mi 	甜蜜	c=1 d=1 t=48482
tian mi de 	甜蜜的	c=1 d=4.91545e-28 t=17463
tian qi 	天气	c=9 d=1 t=80002
tian qi 	田七	c=1 d=1 t=19835
tian re 	天热	c=1 d=1 t=49168
tian tian 	天天	c=7 d=1.00007 t=77771
tian xie 	填写	c=17 d=1.00071 t=79317
tian xie zhe 	填写者	c=1 d=1 t=41073
tian yan cha 	天严查	c=1 d=1 t=39899
tian yuan 	田园	c=1 d=1 t=43213
tiao 	挑	c=1 d=1 t=76020
tiao 	条	c=30 d=1 t=73026
tiao 	调	c=4 d=1 t=75751
tiao biao 	跳表	c=1 d=1 t=66876
tiao bo 	挑拨	c=0 d=0.1 t=75749
tiao bo 	调拨	c=1 d=1 t=75754
tiao bo dan 	挑拨单	c=1 d=1 t=75750
tiao dao 	跳到	c=9 d=8.06267 t=19372
tiao guang 	调光	c=1 d=1 t=16182
tiao guo 	跳过	c=6 d=1 t=64903
tiao ji lu 	条记录	c=1 d=1 t=34788
tiao jia 	调价	c=1 d=1 t=56315
tiao jian 	条件	c=70 d=2.53944 t=78020
tiao liao 	调料	c=10 d=4.78253 t=62558
tiao se ban 	调色板	c=1 d=1 t=18434
tiao shi 	调试	c=10 d=1 t=67048
tiao shu 	条数	c=2 d=1.77492 t=51382
tiao tiao 	挑挑	c=1 d=1 t=19503
tiao wei 	调味	c=2 d=1.82696 t=62684
tiao wei pin 	调味品	c=1 d=1 t=62682
tiao wu 	跳舞	c=1 d=1 t=23687
tiao xiao le 	调小了	c=1 d=2.01512e-08 t=17463
tiao xiu 	调修	c=3 d=1 t=23832
tiao xiu biao 	调修表	c=1 d=0.00101284 t=17463
tiao yi ge 	挑一个	c=2 d=1 t=21163
tiao you 	调优	c=2 d=0.000649051 t=17463
tiao yue 	跳跃	c=4 d=2.71472 t=66976
tiao yue biao 	跳跃表	c=4 d=2.79342 t=67042
tiao zhan 	挑战	c=0 d=0.1 t=61514
tiao zheng 	调整	c=7 d=1 t=46890
tiao zheng dao 	调整到	c=1 d=1 t=39068
tiao zheng le 	调整了	c=1 d=1.98512e-08 t=17463
tiao zhuan 	跳转	c=12 d=3.75061 t=74063
tiao zhuan dao 	跳转到	c=1 d=1 t=75807
tiao zhuan zhi 	跳转至	c=1 d=1 t=74048
tiao zhuang 	条状	c=1 d=1 t=18039
tie jia 	铁甲	c=1 d=1.09851 t=60628
tie jia xiao bao 	铁甲小宝	c=1 d=1 t=60626
tie le 	贴了	c=1 d=1 t=42022
tie san jiao 	铁三角	c=1 d=1 t=20746
tie shang qu 	贴上去	c=1 d=2.0869e-08 t=17463
tie xian 	贴现	c=5 d=4.90637 t=22079
tie zi 	帖子	c=3 d=2.8481 t=25279
ting 	听	c=9 d=1.003 t=77114
ting 	挺	c=5 d=1 t=80006
ting bu cuo 	挺不错	c=2 d=0.000649051 t=17463
ting bu dong 	听不懂	c=2 d=1 t=55679
ting cheng shu 	挺成熟	c=1 d=4.51029e-16 t=17463
ting dao 	听到	c=2 d=1.02958 t=49405
ting dao le 	听到了	c=1 d=1 t=48537
ting dao ni 	听到你	c=1 d=1 t=49127
ting dong 	听懂	c=2 d=1.34473 t=75351
ting duo 	挺多	c=1 d=1 t=75264
ting duo de 	挺多的	c=2 d=1.04152e-08 t=17463
ting gao 	挺高	c=1 d=1 t=18780
ting ge 	听歌	c=8 d=2.6287e-10 t=17463
ting gui 	挺贵	c=1 d=1 t=65359
ting gui de 	挺贵的	c=1 d=1 t=46017
ting hao 	挺好	c=9 d=1 t=54213
ting hao chi 	挺好吃	c=0 d=4.69596e-21 t=17463
ting hao chi de 	挺好吃的	c=2 d=1 t=47085
ting hao de 	挺好的	c=11 d=0.100007 t=41413
ting hao de me 	挺好的么	c=1 d=1 t=41414
ting hao kan 	挺好看	c=5 d=1 t=34163
ting hao kan de me 	挺好看的么	c=1 d=1 t=27918
ting hua 	听话	c=6 d=1 t=50566
ting kai xin 	挺开心	c=1 d=1.7455e-24 t=17463
ting ke 	听课	c=0 d=3.10199e-25 t=17463
ting ke ai 	挺可爱	c=1 d=3.13316e-24 t=17463
ting ke ai de 	听课爱的	c=1 d=3.11753e-24 t=17463
ting kuai 	挺快	c=0 d=0.1 t=45977
ting kuai de 	挺快的	c=1 d=1 t=45978
ting le 	停了	c=2 d=1 t=75080
ting li 	听力	c=1 d=1 t=19323
ting li hai 	挺厉害	c=1 d=1 t=22936
ting mang 	挺忙	c=1 d=0.000112226 t=17463
ting qi lai 	听起来	c=1 d=1 t=77103
ting shu fu 	挺舒服	c=1 d=6.67999e-19 t=17463
ting shui 	停水	c=1 d=1 t=30000
ting shuo 	听说	c=4 d=1 t=65362
ting shuo guo 	听说过	c=2 d=1 t=54174
ting ting 	听听	c=3 d=1 t=41263
ting wo 	听我	c=1 d=1 t=42069
ting wo de 	听我的	c=1 d=1 t=15105
ting yan zhong 	挺严重	c=1 d=1 t=48152
ting zao 	挺早	c=1 d=1 t=20897
ting zhe 	听着	c=1 d=1 t=50560
ting zhi 	停止	c=3 d=1 t=59748
tong 	同	c=2 d=1 t=52642
tong 	痛	c=1 d=1 t=41424
tong 	通	c=4 d=1 t=46256
tong bu 	同步	c=20 d=1 t=60879
tong bu fang fa 	同步方法	c=1 d=1 t=54460
tong chang 	通常	c=18 d=6.26359 t=72224
tong chang wei 	通常为	c=1 d=1 t=55889
tong chang zai 	通常在	c=1 d=1 t=72075
tong cheng 	同城	c=1 d=1 t=21460
tong gao 	通告	c=1 d=1 t=22162
tong gu 	铜鼓	c=3 d=1.00468 t=66825
tong gu gou 	铜鼓狗	c=1 d=0.000158461 t=17463
tong guo 	通过	c=134 d=0.156983 t=79687
tong guo guo 	通过过	c=1 d=1 t=56309
tong guo shen me 	通过什么	c=1 d=1 t=79688
tong hua 	通话	c=1 d=1 t=17598
tong ji 	统计	c=14 d=1.45841 t=75303
tong ji de 	统计的	c=1 d=1 t=18722
tong lei 	同类	c=2 d=1 t=54272
tong ling 	通灵	c=0 d=0.1 t=17604
tong ling wang 	通灵王	c=1 d=1 t=17605
tong ming 	同名	c=3 d=1.00016 t=59249
tong neng 	通能	c=1 d=1 t=68183
tong nian 	童年	c=1 d=1 t=24031
tong pei fu 	通配符	c=1 d=1 t=60445
tong ri 	同日	c=0 d=0.1 t=57057
tong ri na ge 	同日那个	c=2 d=1 t=65253
tong sha 	通杀	c=2 d=1.32142 t=65231
tong shang 	同上	c=2 d=1 t=66739
tong shi 	同事	c=10 d=1.00004 t=79660
tong shi 	同时	c=18 d=1 t=79533
tong tong 	童童	c=0 d=0.1 t=39547
tong xiao 	通宵	c=2 d=0.000259956 t=17463
tong xin 	统信	c=1 d=1 t=51303
tong xin 	通信	c=1 d=1 t=53746
tong xing 	同性	c=1 d=1 t=36442
tong xing zheng 	通行证	c=1 d=1 t=18068
tong xue 	同学	c=2 d=0.1 t=76356
tong xun 	通讯	c=1 d=1 t=68405
tong yi 	同一	c=3 d=1 t=63873
tong yi 	同意	c=2 d=1 t=37625
tong yi 	统一	c=15 d=1 t=76132
tong yi bu 	同意不	c=1 d=1.29667e-27 t=17463
tong yi dui jiao xian 	同意对角线	c=1 d=1 t=20966
tong yi fang fa 	统一方法	c=1 d=1 t=52641
tong yi fen hang 	同一分行	c=1 d=1 t=34645
tong yi ge 	同一个	c=7 d=1 t=74315
tong yi ge di fang 	同一个地方	c=1 d=1 t=15924
tong yi lei 	同一类	c=1 d=1 t=59545
tong yi lie 	通一列	c=1 d=1 t=20962
tong yi zhong 	同一种	c=1 d=1 t=58683
tong yong 	通用	c=16 d=0.474171 t=70671
tong yong lei 	通用类	c=1 d=1 t=70672
tong yong lei tu 	通用类图	c=2 d=1 t=67507
tong yong wen jian 	通用文件	c=1 d=1 t=28927
tong zhao 	统招	c=1 d=1 t=39650
tong zhi 	通知	c=25 d=2.84804 t=70941
tong zhi cun kuan 	通知存款	c=1 d=1.62108e-07 t=17463
tong zhi lei 	童之磊	c=1 d=1 t=70606
tong zhi shu 	通知书	c=0 d=0.1 t=39704
tou 	头	c=11 d=1.956 t=71714
tou bi 	投币	c=1 d=1 t=19415
tou bu 	头部	c=3 d=1 t=71966
tou da 	头大	c=1 d=1 t=29028
tou fa 	头发	c=3 d=1.00052 t=40915
tou huan teng 	头还疼	c=1 d=6.77864e-15 t=17463
tou kao 	投靠	c=1 d=0.13143 t=79740
tou kao ni 	投靠你	c=1 d=1 t=79741
tou lu 	透露	c=1 d=3.59163e-13 t=17463
tou ming 	透明	c=13 d=1 t=72869
tou ming du 	透明度	c=4 d=1 t=49292
tou ming xing 	透明性	c=1 d=1 t=58631
tou shi 	透视	c=0 d=0.1 t=18508
tou su 	投诉	c=1 d=1 t=42060
tou teng 	头疼	c=2 d=1.01165 t=77944
tou xiang 	头像	c=17 d=1 t=70905
tou zhe 	偷着	c=0 d=0.1 t=39079
tou zhe chi 	偷着吃	c=1 d=1 t=39080
tou zhu 	偷猪	c=1 d=1 t=48883
tou zi 	投资	c=5 d=1 t=44633
tu 	吐	c=2 d=1 t=66207
tu 	图	c=22 d=0.1 t=79623
tu 	土	c=2 d=1.00056 t=22974
tu biao 	图标	c=18 d=1 t=79396
tu biao kuang 	图标框	c=1 d=1 t=38703
tu chu 	突出	c=3 d=1.24562 t=66204
tu chu lai 	吐出来	c=1 d=1 t=21222
tu chuang 	图床	c=1 d=1 t=56554
tu de 	涂地	c=1 d=1 t=27904
tu di 	土地	c=1 d=1 t=21479
tu dou wang 	土豆网	c=0 d=0.1 t=17467
tu fang 	土房	c=1 d=1 t=17836
tu hong qin 	涂鸿钦	c=0 d=0.1 t=24163
tu hong qin wo tai hua 	涂鸿钦渥太华	c=1 d=1 t=24164
tu jian 	土建	c=1 d=1 t=57001
tu le 	涂了	c=0 d=0.1 t=21694
tu le 	秃了	c=1 d=1 t=16755
tu le dian 	涂了点	c=1 d=1 t=21695
tu pian 	图片	c=29 d=1.00018 t=79625
tu pian su cai 	图片素材	c=1 d=1 t=37374
tu ran jian 	突然间	c=4 d=1.34819 t=38574
tu shang 	涂上	c=3 d=2.88355 t=21332
tu shu 	图书	c=1 d=0.0566989 t=17463
tu shu guan 	图书馆	c=2 d=1.13214e-07 t=17463
tu tu tu tu 	突突突突	c=1 d=1 t=40694
tu xing 	图形	c=9 d=1 t=59453
tu xing hua 	图形化	c=3 d=0.00331098 t=17463
tu zi 	兔子	c=1 d=1 t=49036
tuan 	团	c=3 d=1.99501 t=65396
tuan dui 	团队	c=1 d=2.02034e-09 t=17463
tuan yuan 	团员	c=1 d=1 t=29294
tui 	推	c=1 d=1 t=28106
tui 	退	c=4 d=1 t=41048
tui chu 	推出	c=2 d=1 t=69154
tui chu 	退出	c=14 d=1 t=71629
tui duan 	推断	c=3 d=2.83724 t=19746
tui duan chu 	推断出	c=1 d=1 t=19736
tui huan huo 	退换货	c=1 d=1 t=47317
tui huo 	退货	c=3 d=2.05429 t=76214
tui jian 	推荐	c=69 d=1 t=78953
tui jian an 	推荐俺	c=2 d=1.00005 t=57002
tui jian de 	推荐的	c=1 d=1 t=79791
tui jian ni 	推荐你	c=1 d=1 t=36020
tui jian shi yong 	推荐使用	c=2 d=1.82283 t=55200
tui le 	退了	c=4 d=0.1 t=77443
tui le me 	退了么	c=1 d=1 t=77444
tui liao 	退料	c=1 d=1 t=75731
tui piao fei 	退票费	c=1 d=0.000184106 t=17463
tui qian 	退钱	c=1 d=1 t=51121
tui shang 	腿上	c=1 d=1 t=49251
tui song 	推送	c=5 d=3.38679 t=28173
tui te 	推特	c=5 d=1 t=56555
tui wo 	推我	c=1 d=1 t=28078
tui xia 	退下	c=1 d=1 t=76907
tui yi 	推移	c=1 d=1 t=68944
tui yi xia 	推一下	c=1 d=8.23115e-05 t=17463
tuo 	拖	c=1 d=1 t=22367
tuo dan 	托胆	c=1 d=6.18027e-16 t=17463
tuo dan le 	脱单了	c=1 d=6.83029e-16 t=17463
