# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
wu wu wu 	呜呜呜	c=1 d=1.40567e-06 t=15081
wu xi 	无锡	c=1 d=1.75365e-20 t=15081
wu xian 	无限	c=1 d=4.3327e-14 t=15081
wu xian lie che 	无线列车	c=1 d=3.99959e-14 t=15081
wu xian lie che 	无限列车	c=1 d=4.08038e-14 t=15081
wu xiao 	无效	c=1 d=1 t=14838
wu xiu 	午休	c=1 d=0.00145901 t=15081
wu yan zu 	吴彦祖	c=1 d=5.98518e-21 t=15081
wu yong 	无用	c=3 d=0.0655573 t=15081
wu yu 	物语	c=2 d=8.41678e-05 t=15081
xi 	吸	c=1 d=8.28116e-15 t=15081
xi 	洗	c=4 d=0.015696 t=15081
xi an 	西安	c=10 d=1.04595e-05 t=15081
xi bao 	细胞	c=0 d=3.98655e-06 t=15081
xi er pai xu 	希尔排序	c=1 d=0.0315873 t=15081
xi fa shui 	洗发水	c=3 d=4.94889e-14 t=15081
xi fu 	西服	c=1 d=0.000155324 t=15081
xi ge 	洗个	c=2 d=9.46807e-05 t=15081
xi ge lian 	洗个脸	c=1 d=0.000102055 t=15081
xi guan 	习惯	c=1 d=0.00869506 t=15081
xi huan 	喜欢	c=4 d=2.803e-08 t=15081
xi le 	洗了	c=1 d=8.59509e-14 t=15081
xi lian 	洗脸	c=1 d=4.82483e-15 t=15081
xi meng si 	席梦思	c=1 d=1.04329e-28 t=15081
xi na 	吸纳	c=1 d=1.52442e-26 t=15081
xi te lei 	希特勒	c=1 d=7.54988e-18 t=15081
xi tong 	系统	c=20 d=4.9451e-05 t=15081
xi tong sheng ji 	系统升级	c=1 d=9.812e-13 t=15081
xi wan 	洗完	c=2 d=1.14216e-14 t=15081
xi wan 	洗碗	c=1 d=1.34496e-16 t=15081
xi wang 	希望	c=3 d=1.45652e-16 t=15081
xi xi 	嘻嘻	c=11 d=9.21203e-06 t=15081
xi xi 	洗洗	c=0 d=1.22286e-15 t=15081
xi xi xi 	嘻嘻嘻	c=3 d=0.12493 t=15081
xi xue gui 	吸血鬼	c=2 d=7.49211e-10 t=15081
xi yi ji 	洗衣机	c=1 d=1.25642e-09 t=15081
xi zao 	洗澡	c=2 d=1.11762e-14 t=15081
xia 	下	c=12 d=0.0860153 t=15081
xia 	吓	c=1 d=1.74372e-12 t=15081
xia ban 	下班	c=7 d=0.100336 t=15081
xia chi huo 	下吃货	c=1 d=5.1382e-20 t=15081
xia ci 	下次	c=4 d=1.22314 t=15081
xia de 	下的	c=1 d=1.1386e-27 t=15081
xia fang 	下方	c=2 d=0.000135831 t=15081
xia ge 	下个	c=0 d=2.27437e-21 t=15081
xia ge yue 	下个月	c=1 d=8.4876e-13 t=15081
xia la kuang 	下拉框	c=1 d=7.45292e-13 t=15081
xia mian 	下面	c=1 d=2.31992e-18 t=15081
xia mu you ren zhang 	夏目友人帐	c=1 d=0.00108086 t=15081
xia qi 	下棋	c=1 d=4.58313e-28 t=15081
xia shou 	下手	c=1 d=1.48975e-13 t=15081
xia shuo 	瞎说	c=3 d=9.54419e-05 t=15081
xia si 	吓死	c=2 d=1.17531e-18 t=15081
xia wu 	下午	c=3 d=1.19813e-11 t=15081
xia yi ge 	下一个	c=2 d=5.31565e-14 t=15081
xia yu 	下雨	c=3 d=2.81798e-12 t=15081
xia yu le 	下雨了	c=1 d=7.61384e-29 t=15081
xia yu tian 	下雨天	c=1 d=2.87491e-12 t=15081
xia zai 	下载	c=22 d=1.0022 t=15081
xia zai dao le 	下载到了	c=1 d=1.18506e-27 t=15081
xia zhou 	下周	c=1 d=8.38859e-22 t=15081
xian 	先	c=7 d=0.198061 t=15081
xian 	线	c=5 d=4.00781e-17 t=15081
xian 	闲	c=2 d=2.41506e-15 t=15081
xian ba 	先把	c=2 d=3.21032e-16 t=15081
xian cheng 	现成	c=1 d=2.13124e-20 t=15081
xian cheng chi 	线程池	c=1 d=0.000689186 t=15081
xian chu 	现出	c=1 d=1.85665e-15 t=15081
xian jin 	现金	c=4 d=2.00397e-10 t=15081
xian ka 	显卡	c=5 d=2.98864e-09 t=15081
xian kan 	先看	c=1 d=1.83088e-27 t=15081
xian mai 	先买	c=0 d=7.30659e-16 t=15081
xian mu 	羡慕	c=3 d=5.02204e-13 t=15081
xian qi 	嫌弃	c=3 d=2.87172e-18 t=15081
xian qi 	限期	c=1 d=2.73703e-22 t=15081
xian qu 	先去	c=1 d=5.43056e-24 t=15081
xian shi 	显示	c=14 d=3.78302e-08 t=15081
xian wo 	嫌我	c=1 d=0.00260584 t=15081
xian wo 	现我	c=1 d=0.00259284 t=15081
xian yu 	咸鱼	c=0 d=1.32629e-29 t=15081
xian zai 	现在	c=36 d=0.608942 t=15081
xian zhi 	限制	c=1 d=6.9972e-06 t=15081
xiang 	像	c=1 d=1.40954e-10 t=15081
xiang 	想	c=9 d=0.737272 t=15081
xiang 	项	c=16 d=0.0841017 t=15081
xiang 	香	c=1 d=4.22285e-06 t=15081
xiang ban fa 	想办法	c=1 d=2.47017e-21 t=15081
xiang chi 	想吃	c=0 d=1.37353e-29 t=15081
xiang chi sha 	想吃啥	c=1 d=1.38041e-28 t=15081
xiang chu 	相处	c=1 d=1.48641e-16 t=15081
xiang dao 	想到	c=2 d=1.6169e-06 t=15081
xiang dao ruan shi li da fen jie ling 	想到软实力大分界岭	c=1 d=4.98464e-16 t=15081
xiang de 	想得	c=1 d=0.282239 t=15081
xiang deng 	相等	c=1 d=1 t=13139
xiang fan 	相反	c=1 d=1.9657e-10 t=15081
xiang gan 	相干	c=1 d=2.6759e-21 t=15081
xiang guan 	相关	c=30 d=0.183104 t=15081
xiang jiao 	香蕉	c=1 d=5.50121e-29 t=15081
xiang le 	想了	c=0 d=0.0794534 t=15081
xiang mai 	想买	c=1 d=1.48842e-15 t=15081
xiang mai le 	想买了	c=1 d=9.26609e-16 t=15081
xiang mu 	项目	c=22 d=0.0503094 t=15081
xiang ni 	想你	c=1 d=5.81541e-06 t=15081
xiang ni xiang 	想你想	c=1 d=1.3594e-24 t=15081
xiang qi lai 	想起来	c=1 d=1.05603e-13 t=15081
xiang qing 	详情	c=6 d=0.0001492 t=15081
xiang qu 	想去	c=1 d=2.54012e-26 t=15081
xiang rang 	想让	c=0 d=3.13806e-14 t=15081
xiang rang ni 	想让你	c=1 d=3.51812e-06 t=15081
xiang rang wo 	想让我	c=1 d=3.15379e-13 t=15081
xiang ri kui 	向日葵	c=4 d=3.0532e-14 t=15081
xiang shuo 	详说	c=3 d=0.151829 t=15081
xiang wan 	想玩	c=1 d=1.45222e-07 t=15081
xiang wen ni 	想问你	c=1 d=1.12727e-27 t=15081
xiang wo 	想我	c=2 d=2.69312e-08 t=15081
xiang xi 	详细	c=2 d=0.524663 t=15081
xiang xiang 	想想	c=3 d=2.46975e-21 t=15081
xiang xiang 	香香	c=1 d=4.11859e-06 t=15081
xiang yong 	想用	c=1 d=4.29178e-20 t=15081
xiang zhao 	想找	c=1 d=1.84419e-24 t=15081
xiao 	小	c=3 d=0.00018046 t=15081
xiao ao 	笑傲	c=0 d=5.29287e-17 t=15081
xiao ao qi che 	笑傲汽车	c=1 d=5.31941e-16 t=15081
xiao bai 	小白	c=21 d=1.88098 t=15081
xiao bai chuang kou 	小白窗口	c=1 d=4.70971e-25 t=15081
xiao ban 	小板	c=1 d=5.19337e-28 t=15081
xiao cheng cheng 	小成成	c=1 d=6.04122e-13 t=15081
xiao cheng xu 	小程序	c=5 d=1.17331e-15 t=15081
xiao chi 	小吃	c=2 d=9.33686e-06 t=15081
xiao chi huo 	小吃货	c=1 d=5.18983e-20 t=15081
xiao dan gao 	小蛋糕	c=1 d=4.64923e-20 t=15081
xiao fei ji 	小飞机	c=2 d=1.22049e-13 t=15081
xiao guo 	效果	c=7 d=0.188247 t=15081
xiao hai 	小孩	c=2 d=1.46453e-18 t=15081
xiao hua 	消化	c=1 d=2.96549e-24 t=15081
xiao hua 	笑话	c=1 d=2.98035e-24 t=15081
xiao hua mian 	小画面	c=1 d=7.0177e-11 t=15081
xiao ku 	笑哭	c=9 d=3.36331e-05 t=15081
xiao lang hao 	小狼毫	c=5 d=4.69196e-10 t=15081
xiao le 	小了	c=0 d=2.00507e-09 t=15081
xiao lian dan 	小脸蛋	c=1 d=9.08106e-14 t=15081
xiao lv 	效率	c=2 d=8.74311e-09 t=15081
xiao man yao 	小蛮腰	c=1 d=7.36849e-26 t=15081
xiao mi 	小米	c=13 d=0.0569831 t=15081
xiao mi shang cheng 	小米商城	c=1 d=1 t=14167
xiao qi 	小七	c=0 d=5.08534e-17 t=15081
xiao qi 	小气	c=0 d=5.11083e-17 t=15081
xiao qi che 	小七扯	c=1 d=5.11083e-16 t=15081
xiao qi che 	小气澈	c=1 d=5.13645e-16 t=15081
xiao qu 	小区	c=1 d=6.0924e-24 t=15081
xiao quan quan 	小拳拳	c=1 d=4.31329e-20 t=15081
xiao sheng 	小声	c=1 d=7.09427e-21 t=15081
xiao shi 	小时	c=1 d=0.00018046 t=15081
xiao shi 	消失	c=1 d=6.8846e-21 t=15081
xiao shu 	小数	c=31 d=0.195596 t=15081
xiao shu wei 	小数位	c=6 d=0.0773047 t=15081
xiao shu wei shu 	小数位数	c=1 d=1 t=14030
xiao si wo 	笑死我	c=1 d=2.48728e-14 t=15081
xiao tu biao 	小图标	c=1 d=3.80258e-08 t=15081
xiao xi 	消息	c=1 d=1.52062e-19 t=15081
xiao xian 	小仙	c=1 d=2.01615e-14 t=15081
xiao xie 	小写	c=1 d=1 t=13364
xiao xin 	小心	c=2 d=2.9109e-15 t=15081
xiao xin 	小新	c=3 d=8.90276e-16 t=15081
xiao xin wo 	小心我	c=1 d=2.02626e-14 t=15081
xiao yu 	小于	c=1 d=1 t=13291
xiao zhang 	嚣张	c=1 d=1.86241e-22 t=15081
xie 	些	c=5 d=0.113225 t=15081
xie 	写	c=3 d=0.000182274 t=15081
xie 	歇	c=1 d=1.66009e-22 t=15081
xie 	鞋	c=4 d=1.9321e-27 t=15081
xie de 	写的	c=3 d=0.532592 t=15081
xie fa 	写法	c=2 d=4.14995e-07 t=15081
xie hao 	写好	c=1 d=1 t=13537
xie kuai 	鞋快	c=1 d=4.72271e-28 t=15081
xie le 	谢了	c=1 d=1.65496e-15 t=15081
xie man 	写满	c=1 d=5.99251e-06 t=15081
xie mi 	泄密	c=1 d=7.58902e-20 t=15081
xie qing chu 	写清楚	c=1 d=5.14974e-17 t=15081
xie ru 	写入	c=1 d=6.007e-05 t=15081
xie ru wen jian 	写入文件	c=1 d=3.31493e-11 t=15081
xie si lu 	些思路	c=1 d=3.92786e-07 t=15081
xie xie 	谢谢	c=1 d=0.283654 t=15081
xie zai 	卸载	c=1 d=1 t=13413
xin 	心	c=1 d=5.28837e-06 t=15081
xin 	新	c=5 d=0.0383884 t=15081
xin chuang kou 	新窗口	c=1 d=6.30941e-24 t=15081
xin dai 	信贷	c=1 d=1.05579e-21 t=15081
xin de 	新的	c=9 d=0.276651 t=15081
xin dong 	心动	c=1 d=5.70025e-06 t=15081
xin guan 	新官	c=1 d=1 t=13157
xin jia 	新加	c=1 d=1 t=14719
xin jian 	新建	c=7 d=1.06274e-10 t=15081
xin ku 	辛苦	c=2 d=0.822835 t=15081
xin kuan 	新款	c=1 d=9.12503e-12 t=15081
xin lei 	新类	c=1 d=0.000257369 t=15081
xin li 	心里	c=2 d=0.000236033 t=15081
xin qu 	新区	c=2 d=1.99733e-09 t=15081
xin teng 	心疼	c=1 d=1.11704e-08 t=15081
xin tu 	新图	c=1 d=2.45025e-14 t=15081
xin wen 	新闻	c=1 d=2.75787e-23 t=15081
xin xi 	信息	c=77 d=1.22373 t=15081
xin xin 	信心	c=1 d=1.17875e-23 t=15081
xin yong zheng 	信用证	c=1 d=1 t=14549
xin zeng 	新增	c=14 d=5.59905e-11 t=15081
xing 	星	c=1 d=1.02371e-11 t=15081
xing 	行	c=16 d=0.43469 t=15081
xing ba 	行吧	c=23 d=0.238435 t=15081
xing bu 	行不	c=1 d=0.00293808 t=15081
xing fu 	幸福	c=1 d=1.4186e-16 t=15081
xing gan 	性感	c=1 d=7.29517e-26 t=15081
xing ge ge 	星哥哥	c=1 d=9.02165e-25 t=15081
xing hao 	型号	c=2 d=9.8307e-06 t=15081
xing hao 	幸好	c=1 d=2.15375e-26 t=15081
xing hua 	兴华	c=1 d=1.4291e-24 t=15081
xing ji bao bei 	星际宝贝	c=1 d=4.16281e-14 t=15081
xing le 	行了	c=2 d=0.852144 t=15081
xing neng 	性能	c=20 d=0.357875 t=15081
xing shi 	形式	c=1 d=3.51621e-28 t=15081
xing yun 	幸运	c=0 d=3.69649e-29 t=15081
xing yun jiang 	幸运奖	c=1 d=3.71501e-28 t=15081
xing zhi 	性质	c=1 d=0.034562 t=15081
xiong 	熊	c=1 d=7.54217e-06 t=15081
xiong di 	兄弟	c=2 d=9.00938e-09 t=15081
xiong wo 	凶我	c=1 d=8.23255e-07 t=15081
xiu 	修	c=4 d=3.80505e-05 t=15081
xiu fu 	修复	c=2 d=4.02042e-05 t=15081
xiu ga 	修噶	c=1 d=0.000450569 t=15081
xiu gai 	修改	c=58 d=0.246356 t=15081
xiu gai dia 	修改嗲	c=1 d=4.97262e-17 t=15081
xiu gai gai 	修改改	c=1 d=8.87827e-13 t=15081
xiu gai qi 	修改器	c=1 d=1.6957e-07 t=15081
xiu li dian 	修理店	c=1 d=1.89255e-05 t=15081
xiu shi 	修饰	c=2 d=2.22394e-13 t=15081
xiu shi de 	修饰的	c=1 d=1.23813e-13 t=15081
xiu shi fu 	修饰符	c=0 d=1.22582e-14 t=15081
xiu tan 	嗅探	c=1 d=1 t=14328
xiu tu 	修图	c=1 d=3.26669e-15 t=15081
xiu xi 	休息	c=6 d=1.16708 t=15081
xiu yi xia 	修一下	c=1 d=8.22388e-24 t=15081
xiu zhe xiu zhe 	修着修着	c=1 d=8.2651e-24 t=15081
xiu zheng 	修正	c=2 d=1.1273e-16 t=15081
xu 	需	c=0 d=3.00356e-28 t=15081
xu ke zheng 	许可证	c=1 d=6.71805e-27 t=15081
xu lie hua 	序列化	c=1 d=0.0323869 t=15081
xu ni 	虚拟	c=1 d=3.00151e-19 t=15081
xu ni ji 	虚拟机	c=1 d=8.61441e-11 t=15081
xu qiu 	需求	c=3 d=7.76732e-16 t=15081
xu yao 	需要	c=20 d=0.160883 t=15081
xu yao de 	需要的	c=1 d=3.0416e-28 t=15081
xu yao dian 	需要点	c=1 d=6.45353e-25 t=15081
xu yao jiang 	需要将	c=1 d=1 t=13844
xu yao shi 	需要是	c=1 d=3.01861e-27 t=15081
xu zu 	续租	c=1 d=1.52481e-22 t=15081
xuan 	选	c=0 d=0.1 t=13670
xuan xiang 	选项	c=2 d=0.0169922 t=15081
xuan ya bian 	悬崖边	c=1 d=1.51381e-25 t=15081
xuan ze 	选择	c=11 d=0.000318253 t=15081
xuan zhong 	选中	c=1 d=4.05024e-15 t=15081
xuan zhuan 	旋转	c=1 d=7.48112e-28 t=15081
xue 	学	c=1 d=3.52111e-15 t=15081
xue 	血	c=1 d=5.08498e-12 t=15081
xue 	雪	c=2 d=3.50527e-15 t=15081
xue hui 	学会	c=1 d=1.77435e-11 t=15081
xue wei zheng 	学位证	c=0 d=0.000711891 t=15081
xue xi 	学习	c=13 d=0.683991 t=15081
xue xiao 	学校	c=1 d=1.98783e-24 t=15081
xue xin wang 	学信网	c=1 d=0.00914087 t=15081
xue xue 	学学	c=2 d=3.56267e-06 t=15081
xun huan 	循环	c=4 d=0.26054 t=15081
xun huan wai 	循环外	c=3 d=2.97025 t=13966
xun jia 	询价	c=0 d=0.00139818 t=15081
xun jia qian 	询价前	c=1 d=0.0140519 t=15081
ya 	呀	c=3 d=3.44189e-12 t=15081
ya cheng 	亚成	c=1 d=2.97985e-22 t=15081
ya hei 	雅黑	c=3 d=8.09318e-12 t=15081
ya li 	压力	c=1 d=2.88284e-15 t=15081
ya suo 	压缩	c=3 d=3.00714e-06 t=15081
yan fa 	研发	c=1 d=0.000523486 t=15081
yan huo 	验货	c=1 d=0.00158052 t=15081
yan jing 	眼睛	c=1 d=1.43133e-13 t=15081
yan ma 	掩码	c=1 d=0.0605068 t=15081
yan se 	颜色	c=3 d=3.56317e-14 t=15081
yan shi 	延时	c=1 d=4.87747e-25 t=15081
yan ta qu 	雁塔区	c=1 d=2.18668e-28 t=15081
yan zheng 	验证	c=2 d=0.00182715 t=15081
yan zheng ma 	验证码	c=2 d=0.000902809 t=15081
yan zhong 	严重	c=1 d=0.020141 t=15081
yang 	样	c=1 d=1 t=13192
yang 	羊	c=2 d=7.86896e-05 t=15081
yang huo 	养活	c=1 d=1.40419e-23 t=15081
yang shi 	样式	c=7 d=0.011109 t=15081
yang yang 	养养	c=1 d=1.27958e-18 t=15081
yang yang 	痒痒	c=1 d=9.25003e-25 t=15081
yang zhe 	养着	c=1 d=6.62726e-14 t=15081
yang zi 	样子	c=1 d=3.63712e-14 t=15081
yao 	摇	c=0 d=3.36034e-25 t=15081
yao 	药	c=5 d=6.76183e-17 t=15081
yao 	要	c=36 d=2.01941 t=15081
yao ba 	要把	c=1 d=0.514274 t=15081
yao bian 	要变	c=0 d=0.019593 t=15081
yao bian de 	要变的	c=1 d=0.196912 t=15081
yao bu 	要不	c=8 d=0.0421796 t=15081
yao bu yao 	要不要	c=12 d=4.15489e-05 t=15081
yao dai 	要带	c=0 d=0.1 t=14991
yao dai ge 	要戴个	c=1 d=3.88204e-16 t=15081
yao dai ni 	要带你	c=1 d=1 t=14992
yao de 	咬的	c=1 d=4.20179e-06 t=15081
yao dian 	药店	c=2 d=0.0116786 t=15081
yao dian 	要点	c=1 d=1.13292e-27 t=15081
yao duo jiu 	要多久	c=1 d=1.27211e-08 t=15081
yao fa fu 	要发福	c=1 d=7.31281e-25 t=15081
yao gen 	要跟	c=1 d=3.61086e-17 t=15081
yao guo 	要过	c=1 d=3.56449e-12 t=15081
yao hao kan 	要好看	c=1 d=1.27693e-23 t=15081
yao he 	要喝	c=1 d=3.37259e-08 t=15081
yao hua ge 	要花个	c=1 d=2.09879e-16 t=15081
yao hua lu 	耀华路	c=0 d=1.99745e-23 t=15081
yao huan 	要换	c=2 d=0.000146278 t=15081
yao jie ru yin hang 	要介入银行	c=1 d=2.80775e-28 t=15081
yao kan 	要看	c=1 d=0.00107547 t=15081
yao kao shi 	要考试	c=1 d=2.26418e-26 t=15081
yao mai 	要买	c=1 d=8.6367e-12 t=15081
yao na 	要那	c=1 d=3.88944e-09 t=15081
yao ne 	要呢	c=1 d=4.5485e-27 t=15081
yao ni 	咬你	c=2 d=0.496585 t=15081
yao nong 	要弄	c=1 d=1.07047e-07 t=15081
yao qian 	要钱	c=1 d=1.30725e-05 t=15081
yao qing 	邀请	c=1 d=2.67918e-06 t=15081
yao qiu 	要求	c=3 d=1.36935e-17 t=15081
yao qu 	要去	c=2 d=2.74223e-06 t=15081
yao shi 	要是	c=6 d=0.0051953 t=15081
yao shi 	钥匙	c=1 d=7.98788e-05 t=15081
yao shi ni 	要是你	c=0 d=2.3721e-16 t=15081
yao shi ni sheng 	要是你生	c=1 d=2.38399e-15 t=15081
yao shui 	要睡	c=1 d=1.63961e-23 t=15081
yao teng 	腰疼	c=0 d=0.1 t=13021
yao tui 	要退	c=0 d=7.83638e-16 t=15081
yao tui ne 	要退呢	c=1 d=7.87566e-15 t=15081
yao xia 	要下	c=0 d=9.35285e-09 t=15081
yao xia zai 	要下载	c=1 d=9.39973e-08 t=15081
yao yi xie 	要一些	c=1 d=7.94804e-05 t=15081
yao yong 	要用	c=0 d=7.23019e-10 t=15081
yao you 	要有	c=0 d=2.81894e-17 t=15081
yao zhi 	要职	c=0 d=0.000932553 t=15081
yao zhi xing 	要职行	c=1 d=0.00937227 t=15081
yao zuo 	要做	c=2 d=1.10022e-06 t=15081
ye 	也	c=13 d=0.603506 t=15081
ye 	页	c=0 d=3.06799e-13 t=15081
ye bu hao 	也不好	c=0 d=1.80768e-25 t=15081
ye bu hao zhao 	也不好找	c=1 d=1.81674e-24 t=15081
ye chi le 	也吃了	c=1 d=6.95616e-25 t=15081
ye jiu 	也就	c=1 d=5.9862e-23 t=15081
ye ke yi 	也可以	c=3 d=0.00194013 t=15081
ye lai 	也来	c=1 d=7.375e-07 t=15081
ye me 	也么	c=1 d=0.687289 t=15081
ye mei 	也没	c=1 d=7.56685e-15 t=15081
ye mei you 	也没有	c=1 d=4.88511e-14 t=15081
ye mian 	页面	c=3 d=6.91149e-05 t=15081
ye qu 	也去	c=1 d=0.00018931 t=15081
ye shi 	也是	c=4 d=0.00923449 t=15081
ye suan 	也算	c=1 d=0.00554422 t=15081
ye wu 	业务	c=65 d=0.246738 t=15081
ye wu ding yi 	业务定义	c=1 d=7.652e-29 t=15081
ye wu lei xing 	业务类型	c=1 d=2.90726e-26 t=15081
ye wu zu 	业务组	c=2 d=1.99005 t=14506
ye xiang 	也想	c=1 d=0.0233573 t=15081
ye xiang dao 	也想到	c=1 d=0.155673 t=15081
ye xing 	也行	c=1 d=9.05916e-15 t=15081
ye yao 	也要	c=1 d=3.25372e-27 t=15081
ye you 	也有	c=1 d=4.5149e-28 t=15081
ye zhao 	也找	c=1 d=2.64244e-20 t=15081
yi 	一	c=1 d=2.27321e-15 t=15081
yi 	以	c=1 d=5.94723e-05 t=15081
yi 	咦	c=4 d=0.000123677 t=15081
yi 	已	c=0 d=0.1 t=14523
yi 	异	c=0 d=0.1 t=14506
yi 	燚	c=22 d=2.04419 t=15081
yi ban 	一半	c=1 d=4.72527e-05 t=15081
yi ban 	一般	c=1 d=4.58718e-09 t=15081
yi bao 	一包	c=1 d=3.94071e-16 t=15081
yi ben 	一本	c=1 d=2.11657e-27 t=15081
yi bu 	异步	c=7 d=0.0710451 t=15081
yi ceng 	一层	c=1 d=2.14228e-22 t=15081
yi chang 	异常	c=5 d=0.0201257 t=15081
yi cheng 	已成	c=1 d=0.000575656 t=15081
yi ci 	一次	c=5 d=0.335754 t=15081
yi da 	已打	c=0 d=5.63855e-26 t=15081
yi da kai 	已打开	c=2 d=1.15945e-24 t=15081
yi dai 	一袋	c=1 d=3.32294e-10 t=15081
yi dao 	一刀	c=1 d=1.04294e-24 t=15081
yi dao 	一到	c=1 d=8.10282e-26 t=15081
yi dian 	一点	c=7 d=0.220722 t=15081
yi dian leng 	一点冷	c=1 d=1.33916e-24 t=15081
yi dian yi dian 	一点一点	c=1 d=3.53876e-15 t=15081
yi ding 	一定	c=1 d=9.59451e-14 t=15081
yi ding hui de 	一定会的	c=1 d=8.79891e-25 t=15081
yi dong 	移动	c=4 d=7.32052e-08 t=15081
yi dong ka 	移动卡	c=1 d=8.74906e-17 t=15081
yi dui 	一堆	c=1 d=2.51793e-11 t=15081
yi dun 	一顿	c=1 d=5.3488e-22 t=15081
yi fang 	以防	c=1 d=1.65896e-14 t=15081
yi fei qi 	已废弃	c=1 d=1.83881e-19 t=15081
yi fen huo 	一分货	c=2 d=9.71106e-09 t=15081
yi fen qian 	一分钱	c=2 d=9.66263e-09 t=15081
yi fu 	衣服	c=1 d=8.55222e-14 t=15081
yi ge 	一个	c=90 d=1.48708 t=15081
yi ge yue 	一个月	c=2 d=9.45328e-11 t=15081
yi ge yue qian 	一个月前	c=1 d=3.59102e-11 t=15081
yi geng xin 	已更新	c=1 d=1 t=14524
yi gong 	一共	c=1 d=1.9056e-27 t=15081
yi he 	一喝	c=1 d=1.35124e-12 t=15081
yi hou 	以后	c=8 d=2.37219 t=15081
yi hou ren wu 	以后任务	c=1 d=5.30657e-17 t=15081
yi hui 	一会	c=3 d=1.0423e-16 t=15081
yi ji 	以及	c=4 d=0.000804733 t=15081
yi jia 	一加	c=5 d=2.10243e-07 t=15081
yi jian 	一件	c=5 d=2.70576e-09 t=15081
yi jian 	意见	c=2 d=1.17551e-11 t=15081
yi jiang 	已将	c=1 d=6.06098e-22 t=15081
yi jing 	已经	c=13 d=0.263907 t=15081
yi kan 	一看	c=1 d=3.6084e-09 t=15081
yi ke 	一颗	c=1 d=1.01861e-11 t=15081
yi kuai 	一块	c=1 d=0.402524 t=15081
yi kuai qian 	一块钱	c=1 d=9.88166e-08 t=15081
yi kuan 	一款	c=0 d=1.73922e-12 t=15081
yi la 	伊拉	c=0 d=4.02443e-29 t=15081
yi lai 	依赖	c=5 d=0.304221 t=15081
yi lan 	一览	c=9 d=0.000120583 t=15081
yi lan cha xun 	一览查询	c=1 d=3.84145e-10 t=15081
yi li lu 	伊犁路	c=1 d=5.18895e-18 t=15081
yi li shou xu fei 	异例手续费	c=1 d=1 t=14507
yi li ya 	伊莉雅	c=1 d=8.01537e-16 t=15081
yi liang ci 	一两次	c=1 d=4.28959e-14 t=15081
yi lie 	一列	c=1 d=4.95034e-23 t=15081
yi liu 	遗留	c=2 d=1.01508e-24 t=15081
yi nian 	一年	c=2 d=0.0923303 t=15081
yi pi 	一批	c=1 d=7.51606e-24 t=15081
yi pian 	一片	c=1 d=3.96047e-16 t=15081
yi ping 	一瓶	c=2 d=4.76769e-18 t=15081
yi qi 	一起	c=17 d=0.406732 t=15081
yi qian 	以前	c=1 d=2.27831e-11 t=15081
yi qian de 	以前的	c=1 d=2.94008e-11 t=15081
yi quan 	一圈	c=1 d=1.98337e-27 t=15081
yi que ding 	已确定	c=1 d=5.45128e-10 t=15081
yi ren 	一人	c=1 d=3.3656e-13 t=15081
yi shang 	以上	c=1 d=7.03826e-16 t=15081
yi sheng 	一声	c=1 d=4.74073e-14 t=15081
yi shi 	已是	c=1 d=7.79331e-09 t=15081
yi shuang 	一双	c=1 d=1.08402e-08 t=15081
yi shui jiao 	一睡觉	c=1 d=2.2846e-14 t=15081
yi si 	意思	c=5 d=0.00348266 t=15081
yi tai 	一台	c=2 d=1.21279e-05 t=15081
yi tang 	一趟	c=1 d=0.000164106 t=15081
yi tian 	一天	c=3 d=1.27576e-08 t=15081
yi tian yi ci 	一天一次	c=1 d=1.01826e-07 t=15081
yi tou 	一头	c=1 d=3.71766e-07 t=15081
yi wai 	以外	c=3 d=1.15507 t=14212
yi wai 	意外	c=4 d=0.0149083 t=15081
yi wei 	以为	c=1 d=1.32791e-13 t=15081
yi xia 	一下	c=24 d=0.386807 t=15081
yi xiao bai 	燚小白	c=2 d=3.23213e-07 t=15081
yi xie 	一些	c=9 d=1.65701e-05 t=15081
yi yang 	一样	c=4 d=0.687351 t=15081
yi yang de 	一样的	c=1 d=1.80737e-22 t=15081
yi yang ma 	一样吗	c=1 d=7.34571e-19 t=15081
yi yuan 	一元	c=0 d=9.78334e-09 t=15081
yi yuan 	医院	c=3 d=9.78344e-08 t=15081
yi yuan gou 	一元购	c=1 d=9.83238e-08 t=15081
yi zhang 	一张	c=4 d=3.66188e-05 t=15081
yi zhang zhi 	一张纸	c=1 d=5.90329e-06 t=15081
yi zhi 	一直	c=5 d=0.0026189 t=15081
yi zhi 	一致	c=3 d=1.40259e-22 t=15081
yi zhi dou zai 	一直都在	c=0 d=1.06126e-24 t=15081
yi zhi dou zai pao 	一直都在跑	c=1 d=1.06658e-23 t=15081
yi zhong 	一种	c=1 d=3.49867e-28 t=15081
yin biao 	音标	c=1 d=1.20609e-28 t=15081
yin cang 	隐藏	c=2 d=1.8819e-23 t=15081
yin dao 	引导	c=2 d=4.02096e-05 t=15081
yin hang 	银行	c=3 d=0.215198 t=15081
yin hang ka 	银行卡	c=1 d=1.32746e-09 t=15081
yin hao 	引号	c=2 d=0.0788664 t=15081
yin jian ka 	印鉴卡	c=2 d=2.26257e-10 t=15081
